medcode,readcode,readterm,minormalformation,subgroup
40547,7h67100,operation on branchial cleft nec,Yes,"""Ear, Face & Neck"""
4467,7h67200,excision of branchial cyst,Yes,"""Ear, Face & Neck"""
16239,7h67300,closure of branchial fistula,Yes,"""Ear, Face & Neck"""
63812,7h67w00,other specified operation on branchial cleft,Yes,"""Ear, Face & Neck"""
96769,7h67x00,operation on branchial cleft nos,Yes,"""Ear, Face & Neck"""
34258,7j44y00,instrumental correction of deformity of spine os,,Limb
42842,7j44z00,instrumental correction deformity of spine nos,,Limb
24041,7j45.00,other correction of deformity of spine,,Limb
60269,7j45y00,other specified correction of deformity of spine,,Limb
28186,7j45z00,correction of deformity of spine nos,,Limb
5941,7k02500,correction of metatarsus varus,Yes,Limb
57857,7k02511,herndon correction of metatarsus varus,Yes,Limb
59486,7k02512,heymann correction of metatarsus varus,Yes,Limb
2022,7k51200,syndactylisation of lesser toes,Yes,Limb
57367,7k6t000,release of webbing of neck,,"""Ear, Face & Neck"""
106951,7l0b200,excision of ovotestis,,Genital
16570,7l0d.00,correction of congenital deformity of shoulder or upper arm,,Limb
57519,7l0d000,reduction of sprengel deformity,,Limb
95502,7l0dy00,correction of congenital deformity shoulder or upper arm os,,Limb
109504,7l0dz00,correction of congenital deformity shoulder or upper arm nos,,Limb
26851,7l0e.00,correction of congenital deformity of forearm,,Limb
69588,7l0e200,centralisation carpus- correctn congenital deformity forearm,,Limb
60207,7l0e300,revisn release radius- correctn congenital deformity forearm,,Limb
61387,7l0e400,revisn release ulna- correction congenital deformity forearm,,Limb
47217,7l0e500,correction of congenital absence of radius,,Limb
57811,7l0e600,radialialization correction for radial club hand,,Limb
96621,7l0ey00,correction of congenital deformity of forearm os,,Limb
96511,7l0ez00,correction of congenital deformity of forearm nos,,Limb
28034,7l0f.00,correction of congenital deformity of hand,,Limb
24051,7l0f200,correction of syndactyly of fingers using skin graft,,Limb
41360,7l0f300,correction of syndactyly of fingers using skin expander,,Limb
20691,7l0f400,amputation of duplicate thumb,,Limb
12526,7l0f500,amputation of supernumerary finger nec,,Limb
49527,7l0fa00,realignment of congenital ulnar drift,,Limb
34765,7l0ff00,correction of radial polydactyly,,Limb
46139,7l0fg00,excision of radial digit & skeletal repair for polydactyly,,Limb
22316,7l0fh00,excision of ulnar digit and skeletal repair for polydactyly,,Limb
65790,7l0fj00,correction of macrodactyly,,Limb
96336,7l0fk00,reconstruction of radial club hand,,Limb
57917,7l0fy00,other specified correction of congenital deformity of hand,,Limb
45324,7l0fz00,correction of congenital deformity of hand nos,,Limb
24670,7l0g.00,correction of congenital deformity of hip,,Limb
30363,7l0g000,open reduction of congenital dislocation of hip,,Limb
55872,7l0g011,ferguson open reduction of congenital deformity of hip,,Limb
69116,7l0g012,ludloff open reduction of congenital deformity of hip,,Limb
34038,7l0g100,primary osteotomy pelvis correction congenital deformity hip,,Limb
72410,7l0g200,secndry arthroplasty hip for correctn congenital deformity,,Limb
101676,7l0g300,intraartic soft tiss proced correct congenital deformity hip,,Limb
36847,7l0g500,osteotomy of ilium correction of congenital deformity of hip,,Limb
53639,7l0g600,femoral osteotomy for correction congenital deformity of hip,,Limb
63750,7l0g700,pelvic osteotomy for congenital deformity of hip,,Limb
22742,7l0g800,salter osteotomy for congenital deformity of hip,,Limb
9299,7l0g900,pemberton osteotomy for congenital deformity of hip,,Limb
25109,7l0ga00,chiari osteotomy for congenital deformity of hip,,Limb
65113,7l0gb00,colonna osteotomy for congenital deformity of hip,,Limb
36685,7l0gc00,shelf procedure for correction congenital deformity of hip,,Limb
50504,7l0gy00,other specified correction of congenital deformity of hip,,Limb
36269,7l0gz00,correction of congenital deformity of hip nos,,Limb
96461,7l0gz11,adams correction of congenital dislocation of hip,,Limb
34200,7l0h.00,correction of congenital deformity of leg,,Limb
31032,7l0h000,open reduction of congenital dislocation of knee,,Limb
43175,7l0h800,open reduction congenital dislocation of patella,,Limb
24167,7l0h900,tibiofibular synostosis for congenital deformity,,Limb
54240,7l0hy00,other specified correction of congenital deformity of leg,,Limb
44045,7l0hz00,correction of congenital deformity of leg nos,,Limb
17996,7l0j.00,primary correction of congenital deformity of foot,,Limb
7822,7l0j.11,primary correction of club foot,,Limb
6406,7l0j.12,primary correction of talipes,,Limb
23981,7l0j000,release pantalar joints correction congenital deformity foot,,Limb
60305,7l0j011,turco soft tissue release for club foot,,Limb
45928,7l0j100,post release foot joints for correction congenital deformity,,Limb
7823,7l0j200,medial release foot joints- correction congenital deformity,,Limb
51738,7l0j211,dillwyn operation for club foot,,Limb
39769,7l0j212,evans operation for club foot,,Limb
23738,7l0j213,medial release of joints of foot for correction of club foot,,Limb
110361,7l0j214,perkins operation for club foot,,Limb
60598,7l0j300,anterior release foot joints correction congenital deformity,,Limb
40396,7l0j400,posteromedial release of clubfoot,,Limb
57063,7l0j500,combined posteromedial + posterolateral release of clubfoot,,Limb
69492,7l0j600,lateral release for congenital deformity of foot,,Limb
69268,7l0j700,correction of congenital vertical talus,Yes,Limb
55347,7l0j800,complete subtalar release of clubfoot,,Limb
62026,7l0jy00,primary correction of congenital deformity of foot os,,Limb
56739,7l0jz00,primary correction of congenital deformity of foot nos,,Limb
21716,7l0k.00,other correction of congenital deformity of foot,,Limb
19378,7l0k.11,other operations for club foot,,Limb
10751,7l0k.12,other correction of talipes,,Limb
23852,7l0k100,wedge tarsectomy for correction congenital deformity of foot,,Limb
48248,7l0k300,separation of tarsal coalition,Yes,Limb
5378,7l0k400,triple arthrodesis for correction of congenital deformity,,Limb
24777,7l0k500,dilwyn evans proc for correction of congenital deformity,,Limb
59934,7l0ky00,other correction of congenital deformity of foot os,,Limb
50314,7l0kz00,other correction of congenital deformity of foot nos,,Limb
24617,7l0l.00,correction of minor congenital deformity of foot,,Limb
23440,7l0l100,release of syndactyly of toes,,Limb
28715,7l0l200,amputation of supernumerary toe,,Limb
20783,7l0l300,correction of curly fifth toe,Yes,Limb
23757,7l0l400,correction of congenital crossed toes,Yes,Limb
44997,7l0l500,reduction of macrodactyly of toe,Yes,Limb
59249,7l0ly00,correction of minor congenital deformity of foot os,Yes,Limb
25710,7l0lz00,correction of minor congenital deformity of foot nos,Yes,Limb
52065,7l0n.00,correction of complex craniofacial deformity,,Limb
28372,7l0n000,cranio-orbital remodelling for plagiocephaly,Yes,Limb
39362,7l0n100,cranio-orbital remodelling for trigonocephaly,,Other
39825,7l0n200,"cranio-orbital remodelling, unspecified",,Limb
61076,7l0n500,correction of oblique facial cleft,,Limb
97556,7l0nz00,correction of complex craniofacial deformity nos,,Limb
97515,8d35.00,spectacles for aphakia,,Eye
63297,9rd0.00,transfer of care from paediatric congenital heart service,,Heart
17605,d410200,polycythaemia due to cyanotic heart disease,,Heart
2069,f23..00,congenital cerebral palsy,,Nervous System
15530,f23..11,congenital spastic cerebral palsy,,Nervous System
99040,f230.11,paraplegia - congenital,,Nervous System
37160,f230000,congenital paraplegia,,Nervous System
45551,f230z00,congenital diplegia nos,,Nervous System
27966,f231.00,congenital hemiplegia,,Nervous System
21249,f232.00,congenital quadriplegia,,Nervous System
48126,f232.11,tetraplegia - congenital,,Nervous System
33925,f233.00,congenital monoplegia,,Nervous System
55593,f233.11,congenital spastic foot,,Limb
53178,f23y.00,other congenital cerebral palsy,,Nervous System
100627,f23y511,congenital suprabulbar paresis,,Nervous System
28306,f23z.00,congenital cerebral palsy nos,,Nervous System
44338,f404211,glaucoma - absolute,,Eye
11053,f421800,retinal microaneurysms nos,,Eye
29764,f442100,glaucomatocyclitic crises,,Eye
22838,f447700,pupillary membranes nos,,Eye
2074,f45..00,glaucoma,,Eye
8971,f450.00,borderline glaucoma,,Eye
24860,f450000,unspecified preglaucoma,,Eye
10070,f450100,open angle glaucoma with borderline intraocular pressure,,Eye
35748,f450200,borderline glaucoma with anatomical narrow angle,,Eye
36737,f450300,borderline glaucoma steroid responder,,Eye
9260,f450z00,borderline glaucoma nos,,Eye
1798,f451.00,open-angle glaucoma,,Eye
42447,f451000,unspecified open-angle glaucoma,,Eye
4581,f451100,primary open-angle glaucoma,,Eye
30649,f451111,simple chronic glaucoma,,Eye
9469,f451200,low tension glaucoma,,Eye
53879,f451211,normal pressure glaucoma,,Eye
12251,f451300,pigmentary glaucoma,,Eye
58645,f451400,glaucoma of childhood,,Eye
72394,f451500,open-angle glaucoma residual stage,,Eye
28189,f451z00,open-angle glaucoma nos,,Eye
2823,f452.00,primary angle-closure glaucoma,,Eye
6315,f452.11,closed angle glaucoma,,Eye
20520,f452000,unspecified primary angle-closure glaucoma,,Eye
44817,f452100,intermittent primary angle-closure glaucoma,,Eye
28536,f452200,acute primary angle-closure glaucoma,,Eye
35446,f452300,chronic primary angle-closure glaucoma,,Eye
67413,f452400,primary angle-closure glaucoma residual stage,,Eye
39120,f452z00,primary angle-closure glaucoma nos,,Eye
69195,f454000,glaucoma due to chamber angle anomaly,,Eye
67341,f454100,glaucoma due to iris anomaly,,Eye
96707,f454200,glaucoma due to other anterior segment anomaly,,Eye
54262,f455.00,glaucoma associated with disorders of the lens,,Eye
44798,f455000,phacolytic glaucoma,,Eye
18743,f455100,pseudoexfoliation glaucoma,,Eye
34354,f455z00,glaucoma associated with disorders of the lens nos,,Eye
37876,f456100,glaucoma due to pupillary block,,Eye
28505,f45y.00,other specified forms of glaucoma,,Eye
44295,f45yz00,other specified glaucoma nos,,Eye
8001,f45z.00,glaucoma nos,,Eye
107168,f463100,glaucomatous subcapsular flecks,,Eye
35596,f4b..00,corneal opacity and other disorders of cornea,,Eye
4366,f4b0.00,corneal scars and opacities,,Eye
4524,f4b0000,unspecified corneal opacity,,Eye
29346,f4b0100,minor opacity of cornea,,Eye
51176,f4b0200,peripheral opacity of cornea,,Eye
36355,f4b0300,central opacity of cornea,,Eye
3474,f4b0z00,corneal scar or opacity nos,,Eye
9253,f4e4600,other blepharophimosis,Yes,Eye
39942,f4e6.00,blepharochalasis,,Eye
67583,f4g4100,hypertelorism of orbit,Yes,Other
20230,f4h1400,optic disc glaucomatous atrophy,,Eye
22325,f4h2200,coloboma of optic disc,,Eye
16473,f4k3.00,aphakia and other disorders of lens,,Eye
1663,f4k3000,aphakia,,Eye
64214,f4k3z00,aphakia and other disorders of lens nos,,Eye
10563,f4k4100,anisocoria - unequal pupil diameter,,Eye
52888,fyug.00,[x]glaucoma,,Eye
70195,fyug000,[x]other glaucoma,,Eye
1267,g11..00,mitral valve diseases,,Heart
1885,g110.00,mitral stenosis,,Heart
44488,g112.00,mitral stenosis with insufficiency,,Heart
50983,g112.12,mitral stenosis with incompetence,,Heart
44328,g112.13,mitral stenosis with regurgitation,,Heart
28662,g113.00,nonrheumatic mitral valve stenosis,,Heart
57633,g114.00,ruptured mitral valve cusp,,Heart
30443,g11z.00,mitral valve disease nos,,Heart
10078,g13..00,diseases of mitral and aortic valves,,Heart
8274,g130.00,mitral and aortic stenosis,,Heart
49355,g131.00,mitral stenosis and aortic insufficiency,,Heart
61250,g131.13,mitral stenosis and aortic incompetence,,Heart
17596,g131.14,mitral stenosis and aortic regurgitation,,Heart
33262,g132.00,mitral insufficiency and aortic stenosis,,Heart
31759,g132.12,mitral incompetence and aortic stenosis,,Heart
33907,g132.13,mitral regurgitation and aortic stenosis,,Heart
31727,g133.00,mitral and aortic incompetence,,Heart
94872,g133.11,mitral and aortic insufficiency,,Heart
11878,g133.12,mitral and aortic regurgitation,,Heart
70698,g13y.00,multiple mitral and aortic valve involvement,,Heart
29158,g13z.00,mitral and aortic valve disease nos,,Heart
16373,g140.00,tricuspid valve disease nec,,Heart
56029,g140300,"tricuspid stenosis, cause unspecified",,Heart
42128,g140400,"tricuspid insufficiency, cause unspecified",,Heart
34869,g140412,"tricuspid incompetence, cause unspecified",,Heart
9286,g140413,"tricuspid regurgitation, cause unspecified",,Heart
72306,g140500,"tricuspid stenosis and insufficiency, cause unspecified",,Heart
49551,g140514,"tricuspid stenosis and regurgitation, cause unspecified",,Heart
53377,g420.00,arteriovenous fistula of pulmonary vessels,,Heart
28850,g54..11,heart valve disorders - non rheumatic,,Heart
2977,g540.00,mitral valve incompetence,,Heart
40949,g540.12,mitral valve insufficiency,,Heart
5058,g540000,"mitral incompetence, non-rheumatic",,Heart
34240,g540100,"mitral incompetence, cause unspecified",,Heart
47887,g541011,"aortic insufficiency, non-rheumatic",,Heart
